Rank,Title,Cast,Director,Genre,Notes,Year,1966rank,1967rank,1968rank,Music,1969rank
,Tel Malish Boot Polish,"Sheikh Mukhtar, KumKum, Chandrashekhar, Madan Puri",Romey Dey,Action Drama,Music by Chitragupta,1961,,,,,
,Wanted,"Vijay Kumar, Sayeeda Khan",Nisar Ahmad Ansari,Action,Music by Ravi,1961,,,,,
,Warrant,"Ashok Kumar, Raaj Kumar, Shakeela, Dhumal",Kedar Kapoor,Action,Music by Roshan,1961,,,,,
,Wazir-e-Azam,"Chand Usmani, Nadira, Indira Billi, Bhagwan, Helen",R. S. Rahi,"Adventure, Costume Drama",Music by Robin Banerjee,1961,,,,,
,Zabak,"Mahipal, Shyama, Chitra",Homi Wadia,Costume Drama,Chitragupta,1961,,,,,
,Zalim Jadugar,"Hercules, Neeta, Rajrani",Sultan,"Fantasy, Action",Music by Iqbal,1961,,,,,
,Zamana Badal Gaya,"Charlie, Chand Usmani, Naina, Iftekhar, Bhagwan, Helen",Jayant Desai,Social,Music by Iqbal Qureshi,1961,,,,,
,Zindagi aur Khwab,"Meena Kumari, Rajendra Kumar, Jayant, Agha, Naaz, Pratima Devi, Jeevankala",S. Banerjee,Romantic melodrama,Music: DattaramLyrics: Kavi Pradeep,1961,,,,,
1.0,Bees Saal Baad,"Biswajeet, Waheeda Rehman",,,,1962,,,,,
2.0,Ek Musafir Ek Haseena,"Joy Mukherjee, Sadhana",,,,1962,,,,,
3.0,Professor,"Shammi Kapoor, Kalpana",,,,1962,,,,,
4.0,Hariyali Aur Raasta,"Mala Sinha, Manoj Kumar",,,,1962,,,,,
5.0,Asli-Naqli,"Dev Anand, Sadhana",,,,1962,,,,,
6.0,Dil Tera Diwana,"Mala Sinha, Shammi Kapoor",,,,1962,,,,,
7.0,Anpadh,"Mala Sinha, Dharmendra",,,,1962,,,,,
8.0,Aarti,"Ashok Kumar, Meena Kumari, Pradeep Kumar",,,,1962,,,,,
9.0,China Town,"Shammi Kapoor, Shakila",,,,1962,,,,,
10.0,Sangeet Samrat Tansen,"Bharat Bhushan, Anita Guha",,,,1962,,,,,
11.0,Son of India,"Sajid Khan, Kumkum, Kanhaiyalal",,,,1962,,,,,
12.0,Half Ticket,"Madhubala, Kishore Kumar, Pran",,,,1962,,,,,
,Aalha Udal,"P. Jairaj, Nirupa Roy, Sabita Chatterjee, Dilip Raj, Jeevan, Sapru, Ishwarlal",Jaswant Jhaveri,"Historical fiction, Fantasy",Music: Jamal SenLyrics: Pandit Indra,1962,,,,,
,Aankh Michouli,"Shekhar, Mala Sinha, Jeevan, S. Nasir, Leela Mishra, Jagdish Raj, Naazi",Ravindra Dave,Crime Thriller,Music: ChitraguptaLyrics: Majrooh Sultanpuri,1962,,,,,
,Aarti,"Ashok Kumar, Meena Kumari, Pradeep Kumar, Shashikala, Rajendranath, Peace Kanwal, Ramesh Deo, Chandrima Bhaduri, Keshto Mukherjee",Phani Mazumdar,Family Drama,Produced: Tarachand Barjatya. Music: RoshanLyrics: Majrooh Sultanpuri,1962,,,,,
,Aashiq,"Raj Kapoor, Nanda, Padmini, Keshto Mukherjee and Leela Chitnis",Hrishikesh Mukherjee,Musical melodrama,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1962,,,,,
,Anpadh,"Dharmendra, Mala Sinha, Balraj Sahni, Bindu, Shashikala, Aruna Irani, Dhumal, Nazir Hussain",,Social Family Drama,Music: Madan MohanLyrics: Raja Mehdi Ali Khan,1962,,,,,
,Apna Banake Dekho,"Manoj Kumar, Asha Parekh, Sajjan, Sunder, Nazir Hussain, Mohan Choti",Jagdish Nirula,Romance,"Music: RaviLyrics: Asad Bhopali, S. H. Bihari",1962,,,,,
,Asli-Naqli,"Dev Anand, Sadhana, Anwar Hussain, Leela Chitnis, Sandhya Roy and Keshto Mukherjee",Hrishikesh Mukherjee,Romantic Drama,Music: Shankar JaikishanLyrics: Shailendra,1962,,,,,
,Baaje Ghungroo,"Manhar Desai, Nalini Chonkar, Sheela Kashmiri, Leela Mishra, Nazir Kashmiri, Jagdish Kanwal",Shivraj Shrivastav,Fantasy Drama,"Music: DhaniramLyrics: Raja Mehdi Ali Khan, Shivraj Shrivastav, Madan Mohan",1962,,,,,
,Baat Ek Raat Ki,"Dev Anand, Waheeda Rehman, Chandrashekhar, Johnny Walker, Sabita Chatterjee, Asit Sen, Ulhas, Jagdish Sethi",Shankar Mukherjee,Romance Thriller,Music: S. D. BurmanLyrics: Majrooh Sultanpuri,1962,,,,,
,Baghdad Ki Raaten,"Mahipal, Shakila, Bhagwan, Ishwarlal, Leela Mishra, Ratanmala",Nanabhai Bhatt,Action Fantasy,Music: Dilip DholakiaLyrics: Prem Dhawan,1962,,,,,
,Banarsi Thug,"Manoj Kumar, Vijaya Chaudhary, I. S. Johar, Lalita Choudhary, Radhakishan, Malika, Madhumati",Lekhraj Bhakri,"Romantic comedy, Drama","Music: Iqbal QureshiLyrics: Hasrat Romani, Gulshan Bawra, Prem Dhawan, Aziz Kaisi, Akhtar Warsi",1962,,,,,
,Banke Sanwaria,"P. Jairaj, Chand Usmani, Achala Sachdev, Rajan Kapoor, Jeevankala, Mirajkar",Danpat Rai,Action,Music: S. MohinderLyrics: Anand Bakshi,1962,,,,,
,Bapu Ne Kaha Tha,"Jankidas, Neena, Manju, Sandeep, Kesari, Jugal Kishore, Majnu, Nana Palsikar",Vijay Bhatt,Children,"Children's Film Society, India.",1962,,,,,
,Bees Saal Baad,"Waheeda Rehman, Biswajeet, Manmohan Krishna, Madan Puri, Sajjan, Lata Sinha",Biren Nag,Romantic Thriller,Music: Hemant KumarLyrics: Shakeel Badayuni,1962,,,,,
,Bombay Ka Chor,"Kishore Kumar, Mala Sinha, Jagdish Raj, Amar, Iftekhar, Honey Irani, Helen, Pratima Devi",S. D. Narang,"Romance, Crime",Music: RaviLyrics: Rajendra Krishan,1962,,,,,
,Bezubaan,"Ashok Kumar, Nirupa Roy, David, Shammi, Helen, Anoop Kumar, Babloo",Ram Kamlani,Family Drama,Music: ChitraguptaLyrics: Prem Dhawan,1962,,,,,
,Bijli Chamke Jamna Paar,"P. Jairaj, Nirupa Roy, Tabassum, Dhumal, Raj Kishore",Jaswant Jhaveri,Drama,Music: S. N. TripathiLyrics: Kaifi Azmi,1962,,,,,
,Burmah Road,"Ashok Kumar, Sheikh Mukhtar, Kumkum, Vijaya Choudhary, Moti Sagar, Mohan Choti, Uma Dutt, Murad, Jeevankala, Ajit",Tara Harish,,Music: ChitraguptaLyrics: Majrooh Sultanpuri,1962,,,,,
,China Town,"Shammi Kapoor, Shakila, Helen, Madan Puri, Jeevankala, Mridula, S. N. Banerjee, Kanu Roy",Shakti Samanta,Romantic thriller,Music: RaviLyrics: Majrooh Sultanpuri,1962,,,,,
,Deccan Queen,"Samar Roy, Krishna Kumari, Sheela Kashmiri, Indira Bansal, Maqbul, Habib",Akkoo,Action,"Music: Sardul KwatraLyrics: Aziz Kashmiri, K. Bakshi",1962,,,,,
,Dil Tera Diwana,"Shammi Kapoor, Mala Sinha, Mehmood, Shobha Khote, Pran, Om Prakash, Manmohan Krishna, Mohan Choti, Ulhas, Mumtaz Begum",B. R. Panthulu,Romantic Drama,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1962,,,,,
,Dr. Vidya,"Vyjayantimala, Manoj Kumar, Madan Puri, Prem Chopra, Mumtaz, Sunder, Helen, Nazir Hussain",Rajendra Bhatia,Social family Drama,Music: S. D. BurmanLyrics: Majrooh Sultanpuri,1962,,,,,
,Durga Pooja,"Anant Kumar, Jaymala, B M Vyas, Naazi, Hiralal",B. K. Adarsh,Devotional,Music: ShivramLyrics: Pandit Indra,1962,,,,,
,Dilli Ka Dada,"Sheikh Mukhtar, Shekhar, Sahira, Mukri, Nishi, Kumar",R. S. Tara,Action,"Music: Datta NaikLyrics: Sahir Ludhianvi, Jan Nisar Akhtar",1962,,,,,
,Ek Musafir Ek Hasina,"Sadhana, Joy Mukherjee, Malika, Rajendranath, Kamal Kapoor, Dhumal, Jagdish Raj",Raj Khosla,Romantic Drama,"S. Mukherjee Production. Music: O. P. NayyarLyrics: Raja Mehdi Ali Khan, Shevan Rizvi, S. H. Bihari",1962,,,,,
,Gangu,"Sheikh Mukhtar, Naaz, Chandrashekhar, Sulochana, Madan Puri, Mohan Choti",Pramod Chakravorty,Action,Music: Kalyanji AnandjiLyrics: Prem Dhawan,1962,,,,,
,Girls' Hostel,"Ajit Khan, Nalini Jaywant, Johnny Walker, Shashi Raj, Geetanjali, Chand Burque",Ravindra Dave,Romantic Drama,"Music: RaviLyrics: S. H. Bihari, Gulshan Bawra",1962,,,,,
,Gyarah Hazaar Ladkiyan,"Bharat Bhushan, Mala Sinha, David, Mukri, Murad, Nadira, Helen, Baby Farida",K. A. Abbas,Social Romantic drama,Music: N. DuttaLyrics: Majrooh Sultanpuri,1962,,,,,
,Half Ticket,"Kishore Kumar, Madhubala, Pran, Shammi, Tun Tun, Manorama, Helen",B. Kalidas,Romantic comedy,Music: Salil ChowdhuryLyrics: Shailendra,1962,,,,,
,Hame Bhi Jeene Do,"M. G. Ramachandran, B. Saroja Devi, P. Bhanumati",M. G. Ramachandran,,"Music S. M. Subbaiah NaiduLyrics: B. S. Kalla, Saraswati Kumar Deepak",1962,,,,,
,Hamen Khelne Do,"Chaman Puri, Neena Chopra, Dubey, Master Raja",R. K. Sharma,Children,"Producer: Children's Film Society, India.Music: Anil Biswas",1962,,,,,
,Hariyali Aur Rasta,"Manoj Kumar, Mala Sinha, Om Prakash, Shashikala, Manmohan Krishna, Jagdeep, Surendra, Helen",Vijay Bhatt,Romantic Family Drama,"Music: Shankar JaikishanLyrics: Shailendra, Hasrat Jaipuri",1962,,,,,
,Hawa Mahal,"Rajan, Helen, Bela Bose, Sulochana, Jeevan, Tiwari, Murad",B J Patel,Fantasy,"Music: Avinash VyasLyrics: Saraswati Kumar Deepak, Raja Mehdi Ali Khan, Aziz Kashmiri",1962,,,,,
,Hong Kong,"Ashok Kumar, B. Saroja Devi, K. N. Singh, Om Prakash, Helen, Babu Rao, King Kong (wrestler)",Pachhi,Action Thriller,"Music: O. P. NayyarLyrics: Raja Mehdi Ali Khan, Qamar Jalalabadi, Shewan Rizvi, S. H. Bihari",1962,,,,,
,Isi Ka Naam Duniya Hai,"Ashok Kumar, Mehmood Shayama, Om Prakash, Sahira, K. N. Singh, Helen, Nazir Hussain",Shakti Samanta,Socia Family drama,Music: RaviLyrics: S. H. Bihari,1962,,,,,
,Jadoo Mahal,"Helen, Azad, Hiralal, Ram Kumar, Krishna Kumari",Aakkoo,Fantasy,Music: Bulo C RaniLyrics: Shewan Rizvi,1962,,,,,
,Jai Ho Mohabbat Ki,"Paresh Banerjee, Meera, Mirza Musharraf, Najma, Heera Sawant, Helen, V Panchotia, Sulbha Kataria",Vithaldas Panchotia,Comedy Drama,"Music: Harbanslal, Amar Singh, Moti BabuLyrics: Pandit Madhur",1962,,,,,
,Jadugar Daku,"P. Jairaj, Jabeen, Madhumalti, Helen, Maruti, Bela Bose, Tun Tun",Chandrakant,Fantasy,Music: S. N. TripathiLyrics: Prem Dhawan,1962,,,,,
,Jhoola,"Sunil Dutt, Vyjayantimala, Pran, Rajendranath, Sulochana, Tun Tun, Manmohan Krishna, Raj Mehra",K. Shankar,Family Drama,Music: Salil ChowdharyLyrics: Rajendra Krishan,1962,,,,,
,Kailashpati,"Mahesh Desai, Sumitra Devi, Padmarani, Niranajan Sharma, Jeevan",Dhirubhai Desai,Mythological,Music: Avinash VyasLyrics: Madan Bharti,1962,,,,,
,Kala Chashma,"Manju, Amarnath, Madan Puri, Maruti, Sheela Kashmiri, Jeevankala, Sheikh",K. Vinod,Action Crime,Music: Sardul KwatraLyrics: Bismil Ludhianvi,1962,,,,,
,Kala Samundar,"P. Jairaj, Chitra, Maruti, Hiralal, Tun Tun, Radhika",R. P. Ashk,Action,"Music: Datta NaikLyrics: Sahir Ludhianvi, Ram Prakash Ashq, Anand Bakshi",1962,,,,,
,King Kong,"Dara Singh, Kumkum, Randhawa, King Kong (wrestler), Uma Dutt, Leela Mishra, Chandrashekhar, Kamal Mehra",Babubhai Mistri,Action,Music: ChitraguptaLyrics: Majrooh Sultanpuri,1962,,,,,
,Maa Beta,"Manoj Kumar, Ameeta, Sheila Ramani, I. S. Johar, Nirupa Roy, Lalita Pawar, Tarun Bose, Manmohan Krishna, Manorama, Leela Mishra",Lekhraj Bhakri,Family Drama,Music: Hemant KumarLyrics: Prem Dhawan,1962,,,,,
,Madam Zapatta,"Azad, Mehroo, Bhagwan, Heera, Sawant, Ram Rasila, Gulab",Ram Rasila,Action,"Music: HarbanslalLyrics: Zafar Rahi, Kaiser Malik",1962,,,,,
,Madam Zorro,"Azad, Nadira, Helen, Bhagwan, Sheikh, Tiwari",Aakkoo,Action,Music: Bulo C RaniLyrics: Shewan Rizvi,1962,,,,,
,Main Chup Rahungi,"Sunil Dutt, Meena Kumari, Babloo, Jagirdar, Nana Palsikar, Mohan Choti, Helen, Raj Mehra",A. Bhim Singh,Social Family Drama,Music: ChitraguptaLyrics: Rajendra Krishan,1962,,,,,
,Main Shadi Karne Chala,"I. S. Johar, Sayeeda Khan, Tabassum, Praveen Choudhary, Mumtaz, Malika, Durga Khote, Feroze Khan, Rajendranath",Roop K. Shorey,Comedy,Wadia Brothers. Music: ChitraguptaLyrics: Majrooh Sultanpuri,1962,,,,,
,Mall Road,"Chandrashekhar, Sangeeta, Kesari, Bela Bose, Radheshyam",Viren Dablish,Action Romance,"Music: SudarshanLyrics: Viren Dablish, Naqsh Lyallpuri, Prem Warbartani",1962,,,,,
,Man-Mauji,"Kishore Kumar, Sadhana, Pran, Achala Sachdev, Naaz, Om Prakash, Mukri, Leela Chitnis","R. Krishnan, S. Panju",Family Drama,Music: Madan MohanLyrics: Rajendra Krishan,1962,,,,,
,Maya Jaal,"Ranjan, Chitra, Manhar Desai, Krishna Kumari, Radhika",Babubhai Mistry,Fantasy,"Music: S. N. TripathiLyrics: Qamar Jalalabadi, Prem Dhawan",1962,,,,,
,Mehndi Lagi Mere Hath,"Shashi Kapoor, Nanda, Ashok Kumar, Achla Sachdev, Mridula",Suraj Prakash,"Romance, Family Drama",Music: Kalyanji AnandjiLyrics: Anand Bakshi,1962,,,,,
,Meri Bahen,"M G Ramachandran, Padmini, Raja Sulochana, Kumud Tripathi",A S A Swami,Family Drama,Music: DhaniramLyrics: Pandit Indra,1962,,,,,
,Naag Devta,"Mahipal, Anjali Devi, Shashikala, B. M. Vyas, Leela Chitnis, Niranajan Sharma",Shantilal Soni,Fantasy,"Music: S. N. TripathiLyrics: Qamar Jalalabadi, Prakash Mehra",1962,,,,,
,Nakli Nawab,"Ashok Kumar, Manoj Kumar, Shakila, K. N. Singh, Kamal Kapoor, Indira Billi, Shammi",Tara Harish,Family Drama,"Music: BabulLyrics: Kaif Irfani, Raja Mehdi Ali Khan",1962,,,,,
,Naughty Boy,"Kishore Kumar, Kalpana, Sulochana, Om Prakash, Madan Puri, Sunder",Shakti Samanta,Romantic comedy,Music: S. D. BurmanLyrics: Shailendra,1962,,,,,
,Neeli Aankhen,"Ajit, Shakeela, Helen, Johnny Walker, Tiwari, Tun Tun, Raj Mehra, Shetty",Ved Mohan,"Romance, Thriller",Music: Dattaram WadkarLyrics: Gulshan Bawra,1962,,,,,
,Pathan,"Premnath, Mumtaz, Achala Sachdev, Iftekhar, Bhagwan",Attaulla Khan,Action,"Music: Jimmy, Dattraj Shyambabu, Brij Bhushan, Fakir Mohammad AsarLyrics: Anjum Jaipuri, Khawar Zaman, Nazeem Jaipuri, Aish Kanwal, Bal Kishan Puri",1962,,,,,
,Prempatra,"Shashi Kapoor, Sadhana, Chand Usmani, Rajendra Nath, Seema Deo, Parveen Choudhary, Satyen Kappu",Bimal Roy,Social Romance Drama,"Music: Salil ChowdharyLyrics: Rajendra Krishan, Gulzar",1962,,,,,
,Private Secretary,"Ashok Kumar, Jayshree Gadkar, Raja Gowswami, Umakant, Mohan Choti, Purnima, N. A. Ansari",Chander,Action Drama,Music: D. DilipLyrics: Prem Dhawan,1962,,,,,
,Professor,"Shammi Kapoor, Kalpana, Salim, Parveen Choudhary, Lalita Pawar, Iftekhar, Tun Tun, Pratima Devi",Lekh Tandon,Romantic comedy,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1962,,,,,
1.0,Mere Mehboob,"Rajendra Kumar, Sadhana, Ameeta",,,,1963,,,,,
2.0,Taj Mahal,"Pradeep Kumar, Bina Rai",,,,1963,,,,,
3.0,Phir Wohi Dil Laya Hoon,"Joy Mukherjee, Asha Parekh",,,,1963,,,,,
4.0,Gumrah,"Mala Sinha, Ashok Kumar, Sunil Dutt",,,,1963,,,,,
5.0,Dil Ek Mandir,"Rajendra Kumar, Meena Kumari, Raaj Kumar",,,,1963,,,,,
6.0,Tere Ghar Ke Samne,"Dev Anand, Nutan",,,,1963,,,,,
7.0,Shikari,"Ajit, Ragini",,,,1963,,,,,
8.0,Mujhe Jeene Do,"Sunil Dutt, Waheeda Rehman",,,,1963,,,,,
9.0,Gehra Daag,"Mala Sinha, Rajendra Kumar",,,,1963,,,,,
10.0,Bandini,"Ashok Kumar, Nutan",,,,1963,,,,,
,Aaj Aur Kal,"Sunil Dutt, Nanda, Ashok Kumar, Raaj Kumar, Tanuja, Soodesh Kumar, Deven Verma",Vasant Joglekar,Family Drama,Music: RaviLyrics: Sahir Ludhianvi,1963,,,,,
,Akela,"Balraj Sahni, Sadhana Roychowdhury, Lalita Pawar, Sulochana, Dhumal, Murad, Daisy Irani, Honey Irani",Jay Bee,Crime Drama,Music: Datta NaikLyrics: Rajendra Krishan,1963,,,,,
,Akeli Mat Jaiyo,"Meena Kumari, Rajendra Kumar, Agha, Minu Mumtaz, Leela Mishra",Nandlal Jashwantlal,Romance Drama,Music: Madan MohanLyrics: Majrooh Sultanpuri,1963,,,,,
,Awara Abdulla,"Dara Singh, Parveen Choudhary, Helen, Chandrashekhar, Bhagwan",Tara Harish,Action,Music: Datta NaikLyrics: Asad Bhopali,1963,,,,,
,Bachpan,"Salim Khan, Menka Irani, Daisy Irani, Jeevan, Manorama, David, Bhudo Advani",Nazar,Social Drama,Music: Sardar MalikLyrics: Hasrat Jaipuri,1963,,,,,
,Bahurani,"Guru Dutt, Mala Sinha, Feroz Khan, Shyama, Lalita Pawar, Agha",T. Prakash Rao,Family Drama,Music: C. RamchandraLyrics: Sahir Ludhianvi,1963,,,,,
,Band Master,"Jagdeep, Azra, Ravikant, Lalita Pawar, Rajan",Ravindra Dave,Drama Family Romance,Music: ChitraguptaLyrics: Prem Dhawan,1963,,,,,
,Bandini,"Dharmendra, Nutan, Ashok Kumar, Raja Paranjpe, Tarun Bose, Asit Sen, Sulochana",Bimal Roy,Drama,Won National Film Award for Best Feature Film in Hindi and six Filmfare Awards. Music: S. D. BurmanLyrics: Shailendra,1963,,,,,
,Been Ka Jadoo,"Mahipal, Helen, Kammo, Tiwari, Mohan Choti, Ulhas",N. Rajesh,Fantasy,Music: S. N. TripathiLyrics: B. D. Mishra,1963,,,,,
,Begaana,"Dharmendra, Supriya Chowdhury, Agha, Sailesh Kumar, Tarun Bose, Madhavi, Daisy Irani, Manorama",Sadashiv Rao Kavi,Romance Drama,Music: Sapan JagmohanLyrics: Shailendra,1963,,,,,
,Bharosa,"Guru Dutt, Asha Parekh, Sudesh Kumar, Om Prakash, Shobha Khote, Mehmood, Lalita Pawar, Nana Palsikar, Sulochana",K. Shankar,Family Drama Romance,Music: RaviLyrics: Rajendra Krishan,1963,,,,,
,Bhootnath,"Ranjan, Vijaya Chaudhary, Rajan Haksar, Mohan Choti, Ulhas, Jeevankala",Nanabhai Bhatt,"Costume, Action","Music: Ved PalLyrics: Keshav Trivedi, Anjaan, Yusuf",1963,,,,,
,Bin Badal Barsaat (1963 film),"Biswajeet, Asha Parekh, Nishi, Mehmood, Moni Chatterjee, Padma Chavan",Jyoti Swaroop,Thriller Drama,Music: Hemant KumarLyrics: Shakeel Badayuni,1963,,,,,
,Bluff Master,"Shammi Kapoor, Saira Banu, Pran, Lalita Pawar, Mohan Choti, Tun Tun, Niranjan Sharma, Rashid Khan",Manmohan Desai,Romance Comedy Drama,Music: Kalayanji AnandjiLyrics: Rajendra Krishan,1963,,,,,
,Captain Sheroo,"P. Jairaj, Helen, Maruti, Niranjanjan Sharma, Tun Tun, Padma Rani",Dharam Kumar,Action,"Music: S. MohinderLyrics: Naqsh Lyallpuri, Raja Mehdi Ali Khan",1963,,,,,
,Chandrasekhar Azad,"P. Jairaj, Nirupa Roy, Indira Billi, Manju, Leela Mishra",Jagdish Gautam,Historical Biopic,Music: Sardul KwatraLyrics: Prem Dhawan,1963,,,,,
,Cobra Girl,"Mahipal, Ragini, Tiwari, Sunder, Manorama, Mariya",Nanabhai Bhatt,Fantasy,Music: S. N. TripathiLyrics: Prem Dhawan,1963,,,,,
,Commercial Pilot Officer,"Sohan Kapila, Shyama, Shashikala",O. P. Dutta,Action Thriller,Music: RoshanLyrics: Anand Bakshi,1963,,,,,
,Daanveer Karan,"Shivaji Ganesan, N T Rama Rao, Savitri",B. R. Panthulu,Mythology,Music: K BalakrishnaLyrics: Prem Dhawan,1963,,,,,
,Deepak,"Sulochana Chatterjee, Master Anwar, Maruti Rao, Chaman Puri, Bhartendu, Dwarkadas",Harsukh Bhatt,Children,Children's Film Society. Music: Snehal BhatkarLyrics: Moosa Kaleem,1963,,,,,
,Dekha Pyar Tumhara,"Bhagwan, Naaz, Subiraj, Achala Sachdev, Helen, Madan Puri",Kalpataru,Romantic Drama,Music: Raj RatanLyrics: Majrooh Sultanpuri,1963,,,,,
,Dev Kanya,"Mahipal, Anita Guha, Krishna Kumari, Mukri, B. M. Vyas, Babu Raje",S. N. Tripathi,Fantasy,Music: S. N. TripathiLyrics: B. D. Mishra,1963,,,,,
,Dil Ek Mandir,"Rajendra Kumar, Meena Kumari, Raaj Kumar, Mehmood, Shobha Khote, Achala Sachdev",C. V. Sridhar,Romantic triangle,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1963,,,,,
,Dil Hi To Hai (1963 film),"Raj Kapoor, Nutan, Pran, Nazir Hussain, Leela Chitnis, Sabita Chatterjee, Manorama, Agha","C. L. Rawal, Pyare Lal Santoshi",Romance,Music: RoshanLyrics: Sahir Ludhianvi,1963,,,,,
,Ek Dil Sao Afsane,"Raj Kapoor, Waheeda Rehman, Lalita Pawar, Sadhna Choudhary, Sulochana, Raj Kishore, Jagdish Raj, Tun Tun",R.C. Talwar,"Family, Romance Drama","Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1963,,,,,
,Ek Raaz,"Kishore Kumar, Jamuna, Pran, Lalita Pawar, Tun Tun, Mumtaz, Agha",Shakti Samanta,Social Family Drama,Music: ChitraguptaLyrics: Majrooh Sultanpuri,1963,,,,,
,Ek Tha Alibaba,"Dara Singh, Nishi, Helen, Naaz, Tiwari, Hiralal, Ram Singh",Harbans,Fantasy,Music: Hansraj BehlLyrics: Prem Dhawan,1963,,,,,
,Faulad,"Dara Singh, Mumtaz, Randhawa, Shyam Kumar, Kamran, Minu Mumtaz, Kamal Mehra",Mohammed Hussain,Action,"Music: G. S. KohliLyrics: Anjaan, Faruk Kaiser",1963,,,,,
,Gehra Daag,"Mala Sinha, Rajendra Kumar, Usha Kiran, Madan Puri, Mumtaz, Tun Tun, Manmohan Krishna, Lalita Pawar, Sunder",O. P. Ralhan,Romance Crime Drama,Music: RaviLyrics: Shakeel Badayuni,1963,,,,,
,Ghar Basake Dekho,"Manoj Kumar, Rajshree, Savitri, Mehmood, Shyama, Johnny Walker, Lalita Pawar",Kishore Sahu,Family Drama,Music: ChitraguptaLyrics: Rajendra Krishan,1963,,,,,
,Godaan,"Raaj Kumar, Kamini Kaushal, Manhar Desai, Shashikala, Madan Puri, Shobha Khote, Mehmood, Tun Tun",Trilok Jetley,Family Drama,Based on the novel Godaan by Munshi Premchand. Music: Pandit Ravi ShankarLyrics: Anjaan,1963,,,,,
,Grahasti,"Ashok Kumar, Nirupa Roy, Manoj Kumar, Rajshree, Soodesh Kumar, Shobha Khote, Mehmood",Kishore Sahu,Family Drama,Music: RaviLyrics: Shakeel Badayuni,1963,,,,,
,Gul-e-Bakavali,"P. Jairaj, Nishi, Sulochana Chatterjee, Sunder, Tiwari, Maruti, Sapru, Naaz",Jugal Kishore,Family,"Music: Hansraj BehlLyrics: Naqsh Lyallpuri, Noor Devasi, Gulshan Bawra, Shyam Ralhan, Prem Warbartani",1963,,,,,
,Gumrah,"Sunil Dutt, Mala Sinha, Ashok Kumar, Shashikala, Rehman, Nana Palsikar",B. R. Chopra,Romantic drama,Music: RaviLyrics: Sahir Ludhianvi,1963,,,,,
,Hamrahi,"Rajendra Kumar, Jamuna, Shobha Khote, Mehmood, O. P. Ralhan, Lalita Pawar",T. Prakash Rao,Romantic melodrama,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1963,,,,,
,Harishchandra Taramati,"Prithviraj Kapoor, Jaymala, Babloo, Helen, B. M. Vyas, Ulhas, Tiwari, Babu Raje",B. K. Adarsh,Mythology,Music: Laxmikant PyarelalLyrics: Kavi Pradeep,1963,,,,,
,Holiday in Bombay,"Shashi Kapoor, Vijaya Chaudhary, Shashikala, Laxmi Chhaya, Ulhas, Rajendranath, Dhumal, Sulochana Chatterjee, Jeevankala, Heera Sawant, Nazir Kashmiri",P. L. Santoshi,Romantic comedy,"Music: N. DuttaLyrics: Anand Bakshi, Anjaan, P. L. Santoshi",1963,,,,,
,The Householder,"Shashi Kapoor, Leela Naidu, Jennifer Kendall, Pahari Sanyal, Durga Khote, Achla Sachdev, Harindranath Chattopadhyay, Jabeen Jalil",James Ivory,Family Drama,From the novel by Ruth Prawer. Music: Ustad Ali Akbar Khan Assistant: Jaidev,1963,,,,,
,Jab Se Tumhe Dekha Hai,"Pradeep Kumar, Geeta Bali, Agha, Vijayalaxmi, Dulari, Sunder, Shammi Kapoor, Shashi Kapoor, Mohan Choti, Tun Tun",Kedar Kapoor,Romantic drama,Music: Dattaram WadkarLyrics: Shailendra,1963,,,,,
,Jungle Boy,"Indira Bansal, Shyam Kumar, Swaroop, Raj Rani, Maruti",S. Pal,Action Adventure,Music: Suresh TalwarLyrics: Anjaan,1963,,,,,
,Junglee Raja,"Azad, Madhu, Heera Sawant, Samson, Babu Raje",Vishwanath,Action Adventure,Music: Robin BanerjeeLyrics: Yogesh,1963,,,,,
,Kabli Khan,"Ajit, Helen, Jayant, Indira Bansal, Salim Khan, Samson, Mukri, W. M. Khan, Ulhas",K. Amarnath,Action,Music: ChitraguptaLyrics: Majrooh Sultanpuri,1963,,,,,
,Kahin Pyaar Na Ho Jaaye,"Mehmood, Shakila, Om Prakash, Shammi, Purnima, Johnny Walker, Jeevankala, Babu Raje",Kalpataru,Romance Drama,"Music: Kalyanji AnandjiLyrics: Indeevar, Qamar Jalalabadi, Anand Bakshi, Asad Bhopali, Gulshan Bawra",1963,,,,,
,Kala Ghoda,"Azad, Indira Billi, Heera, Shyam Kumar, Sawant",A. Shamsheer,Action,Music: S. KishanLyrics,1963,,,,,
,Kala Jadoo,"Hercules, Chandrakala, Habib, Tun Tun, Maqbul",Mahmood,Fantasy,Music: IqbalLyrics: Shor Niyazi,1963,,,,,
,Kan Kan Men Bhagwan,"Anita Guha, Mahipal, Krishna Kumari, Raja Nene, Ratnamala, Ram Singh",Babubhai Mistri,Devotional,Music: Pandit ShivramLyrics: Bharat Vyas,1963,,,,,
