Rank,Title,Cast,Director,Genre,Notes,Year,1966rank,1967rank,1968rank,Music,1969rank
,Bombay Central,"Samar Roy, Krishna Kumari",R. K. Balam,Action,"Music by Shyam Babu Pathak, Lyrics by R. K. Balam",1960,,,,,
,Captain India,"Kamran, Mehmood, Krishna Kumari",C. Kent,Action,Music: Hemant Kedar Lyrics: Rajaram Saki,1960,,,,,
,Chand Mere Aja,"Nanda, Bharat Bhushan, Lalita Pawar, Maruti",Ram Daryani,Drama Social,Music by Chitragupta. Lyrics by Prem Dhawan,1960,,,,,
,Chandramukhi,"Manhar Desai, Kavita, B.M Vyas, Maruti",K. Thakur,Romance Costume Drama,Music by S. N. Tripathi. Lyrics by Bharat Vyas,1960,,,,,
,Chaudhvin Ka Chand,"Guru Dutt, Rehman, Waheeda Rehman, Johnny Walker",M. Sadiq,Romance Social Drama,Entered in the 2nd Moscow International Film Festival. Music: Ravi Lyrics: Shakeel Badayuni,1960,,,,,
,Chhabili,"Nutan, Tanuja, Kaysi Mehra, Helen, K. N. Singh",Shobhna Samarth,Social Drama,"Music by Snehal Bhatkar, lyrics by S Ratan. Nutan sang ""ae mere humsafar""",1960,,,,,
,Chhalia,"Raj Kapoor, Nutan, Pran, Rehman, Shobhna Samarth",Manmohan Desai,Social Romance,"Music: Kalyanji Anandji, assisted by Lakshmikant-Pyarelal. Lyrics by Qamar Jalalabadi",1960,,,,,
,College Girl,"Shammi Kapoor, Vyjayanthimala, Om Prakash, Tabassum, Nana Palsikar, Achala Sachdev",T. Prakash Rao,Romance Drama,Music: Shankar Jaikishan Lyrics: Rajendra Krishan,1960,,,,,
,Delhi Junction,"Ajit, Shakila, Nishi, Pran, Cuckoo",Mohammed Hussain,Action Adventure,Music by Kalyanji Anandji. Lyrics by Gulshan Bawra,1960,,,,,
,Dil Apna Aur Preet Parai,"Raaj Kumar, Meena Kumari, Nadira, Tun Tun, Helen, Om Prakash",Kishore Sahu,Romantic Drama,"Music by Shankar-Jaikishen, lyrics by Shailendra. Famous song: Ajeeb Dastan Hai Yeh",1960,,,,,
,Dil Bhi Tera Hum Bhi Tere,"Dharmendra, Arjun Hingorani, Balraj Sahni, Kumkum",Arjun Hingorani,Drama Social,"Music by Kalyanji Anandji, lyrics by Shamim Jaipuri, K L Pardesi. Debut movie of Dharmendra",1960,,,,,
,Do Aadmi,"Jairaj, Shashikala, Jeevankala",Dwarka Khosla,Social Drama,"Music by S. N. Tripathi, lyrics by Prem Dhawan",1960,,,,,
,Do Dost,"Kamran, Chitra, Mehmood, Helen",K. Anand,Social Action,"Music by S. Mohinder, lyrics by Bharat Vyas",1960,,,,,
,Dr. Shaitan,"Premnath, Shakila, Sheikh Mukhtar, Tiwari",Shriram Bohra,Thriller Action,Music by N. Datta. Lyrics by Jan Nisar Akhtar,1960,,,,,
,Duniya Jhukti Hai,"Sunil Dutt, Shyama, Kumkum, Daisy Irani, Agha",JBH Wadia,Family Social,Music: Hemant Kumar Lyrics:Rajendra Krishan,1960,,,,,
,Eid Mubarak,,Khwaja Ahmad Abbas,Children Festival,Short Film category,1960,,,,,
,Ek Ke Baad Ek,"Dev Anand, Tarla Mehta, Sharda, Prabhu Dayal",Raj Rishi,Family Drama,"Music by S. D. Burman, lyrics: Kaifi Azmi",1960,,,,,
,Ek Phool Char Kaante,"Sunil Dutt, Waheeda Rehman, Johnny Walker, Gopi and Tun Tun.",Bhappi Sonie,Family Comedy Romance,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",1960,,,,,
,Gambler,"Prem Nath, Shakila, Pran, K. N. Singh",Dwarka Khosla,Action Thriller,Music: Chitragupta Lyrics: Prem Dhawan,1960,,,,,
,Ghar Ki Laaj,"Sohrab Modi, Nirupa Roy, Kumkum, Madan Puri",Om Prakash,Family Drama,Rajendra Krishan-Ravi,1960,,,,,
