Opening,Opening.1,Title,Director,Cast,Studio,Year
MAY,1.0,Mrs. Serial Killer,Shirish Kunder,Jacqueline FernandezManoj BajpayeeMohit RainaZayn Marie,"Three's Company Productions Pvt.Ltd, Netflix",2020
MAY,20.0,What Are the Odds,Megha Ramaswamy,Yashaswini DayamaKaranvir MalhotraAbhay Deol,"FilmKaravan, Netflix",2020
MAY,22.0,Ghoomketu,Pushpendra Nath Misra,Nawazuddin SiddiquiRagini KhannaRicha ChadhaAnurag KashyapDeepika AminRaghuvir YadavIla ArunSwanand Kirkire,"Phantom Films, Sony Pictures, ZEE5",2020
JUN,1.0,Chippa,Safdar Rehman,Sunny PawarJoyraj BhattacharyaSumeet ThakurGautam SarkarMasood AkhtarKalpan Mitra,"Traveling Light Pictures, Ultra Media & Entertainment, Victory Media, Wishberry Films",2020
JUN,5.0,Chintu Ka Birthday,Devanshu KumarSatyanshu Singh,Vinay PathakTillotama ShomeNate Scholz,"Final Draft, ZEE5",2020
JUN,5.0,Choked,Anurag Kashyap,Saiyami KherRoshan MathewAmruta SubhashRajshri Deshpande,"JAR Pictures, Good Bad Films, Netflix",2020
JUN,12.0,Axone,Nicholas Kharkongor,Dolly AhluwaliaSayani GuptaTenzin DalhaVinay PathakLin LaishramAsenla JamirLanuakum Ao,"Saregama India, Yoodlee films",2020
JUN,12.0,Gulabo Sitabo,Shoojit Sircar,Farrukh JaffarAmitabh BachchanAyushmann KhurranaVijay RaazBrijendra KalaNalneesh Neel,"Rising Sun Films, Kino Works, Prime Video",2020
JUN,18.0,Kadakh,Rajat Kapoor,Kalki KoechlinRanvir ShoreyShruti SethManoj PahwaTara SharmaCyrus SahukarMansi Multani,"Mithya Talkies, Sony LIV",2020
JUN,19.0,Chaman Bahaar,Apurva Dhar Badgaiyann,Jitendra KumarRitika Badiani,"Saregama India, Yoodlee films",2020
JUN,24.0,Bulbbul,Anvita Dutt,Tripti DimriAvinash TiwaryRahul BoseParambrata ChatterjeePaoli Dam,"Clean Slate Films, Netflix",2020
JUN,26.0,Bhonsle,Devashish Makhija,Manoj BajpayeeSantosh JuvekarIpshita Chakraborty SinghAbhishek Banerjee,"Muvizz, Sony LIV",2020
JUN,27.0,Unlock,Debatma Mandal,Kushal TandonHina KhanRishabh SinhaAditi Arya,"Krasnaya Corporation, Wind Horse Films, ZEE5",2020
JUL,16.0,Virgin Bhanupriya,Ajay Lohan,Urvashi RautelaGautam Gulati,"Dhariwal Films, ZEE5",2020
JUL,24.0,Dil Bechara,Mukesh Chhabra,Sushant Singh RajputSanjana SanghiSaif Ali Khan,"Fox Star Studios, Disney+ Hotstar",2020
JUL,30.0,Yaara,Tigmanshu Dhulia,Vidyut JammwalShruti HaasanAmit SadhVijay VarmaKenny Basumatary,"Tigmanshu Dhulia Films, Azure Entertainment, ZEE5",2020
JUL,31.0,Shakuntala Devi,Anu Menon,Vidya BalanJisshu SenguptaSanya MalhotraAmit Sadh,"Abundantia Entertainment, Sony Pictures Networks India, A Genius Films Production, Prime Video",2020
JUL,31.0,Lootcase,Rajesh Krishnan,Kunal KhemuRasika DugalVijay RaazRanvir ShoreyGajraj RaoAryan PrajapatiShashi RanjanSumit Nijhawan,"Fox Star Studios, Soda Films, Disney+ Hotstar",2020
JUL,31.0,Raat Akeli Hai,Honey Trehan,Nawazuddin SiddiquiRadhika ApteShweta TripathiIla ArunShivani RaghuvanshiAditya SrivastavaTigmanshu DhuliaSwanand Kirkire,"RSVP Movies, Netflix",2020
AUG,6.0,Pareeksha,Prakash Jha,Adil HussainPriyanka BoseSanjay Suri,"Prakash Jha Productions, ZEE5",2020
AUG,12.0,Gunjan Saxena: The Kargil Girl,Sharan Sharma,Janhvi KapoorPankaj TripathiAngad BediVineet Kumar SinghManav Vij,"Dharma Productions, Zee Studios, Netflix",2020
AUG,14.0,Khuda Haafiz,Faruk Kabir,Vidyut JammwalShivaleeka OberoiAnnu KapoorShiv PandittAahana Kumra,"Panorama Studios, Disney+ Hotstar",2020
