Opening,Opening.1,Title,Director,Cast,Genre,Year,Source,Studio,Production house
NOV,22.0,Singh Saab The Great,Anil Sharma,"Sunny Deol, Amrita Rao, Johny Lever, Urvashi Rautela[112]",Action,2013,,,
NOV,29.0,Bullett Raja,Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Sheirgill, Vidyut Jamwal, Chunky Pandey[113]",Comedy/Crime/Romance,2013,,,
DEC,6.0,R... Rajkumar,Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani, Ashish Vidyarthi[114]",Action/Romance,2013,,,
DEC,13.0,Jackpot,Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[115]",Thriller/Comedy,2013,,,
DEC,13.0,What the Fish,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari",Drama,2013,,,
DEC,20.0,Dhoom 3,Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff",Action,2013,,,
20,,,,,,2013,,,
JAN,3.0,Mr Joe B. Carvalho,Samir Tiwari,"Arshad Warsi, Soha Ali Khan, Javed Jaffrey, Vijay Raaz",Comedy,2014,[12],,
JAN,3.0,Sholay 3D,Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Hema Malini, Jaya Bhaduri, Sanjeev Kumar, Amjad Khan, A.K. Hangal",Action/Adventure,2014,[13],,
JAN,10.0,Dedh Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Arshad Warsi, Madhuri Dixit, Huma Qureshi",Black Comedy/Thriller,2014,[14],,
JAN,10.0,Yaariyan,Divya Khosla Kumar,"Himansh Kohli, Shreyas Pardiwalla, Dev Sharma, Nicole Faria, Rakul Preet Singh",Romance,2014,[15],,
JAN,17.0,Karle Pyaar Karle,Rajesh Pandey,"Shiv Darshan, Hasleen Kaur",Romance,2014,[16],,
JAN,17.0,Miss Lovely,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh",Drama,2014,[17],,
JAN,17.0,Om-Dar-B-Dar,Kamal Swaroop,"Aditya Lakhia, Manish Gupta, Anita Kanwar, Gopi Desai",Experimental,2014,[18],,
JAN,17.0,Paranthe Wali Gali,Sachin Gupta,"Anuj Saxena, Neha Pawar, Mohinder Gujral, Vijayant Kohli, Himanshu Thakkar, Yuvraj Haral",Romantic comedy,2014,[19],,
JAN,17.0,Strings of Passion,Sanghamitra Chaudhari,"Zeenat Aman, Indrani Haldar, Shubh Mukherjee, Rajesh Sharma",Drama,2014,[20],,
JAN,24.0,Jai Ho,Sohail Khan,"Salman Khan, Daisy Shah, Tabu, Sana Khan, Danny Denzongpa, Mohnish Behl, Vatsal Seth, Suniel Shetty, Genelia D'Souza",Action - comedy,2014,[21],,
JAN,31.0,One by Two,Devika Bhagat,"Abhay Deol, Preeti Desai, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Lilette Dubey, Anish Trivedi",Romance/Comedy,2014,[22],,
FEB,7.0,Babloo Happy Hai,Nila Madhab Panda,"Sahil Anand, Erica Fernandes, Preet Kamal, Sumit Suri, Amol Parashar, Reyhna Malhotra, Parvin Dabas, Anu Choudhury, Pooja Tawde, Khusbhoo Purohit, Mika Singh",Comedy,2014,[23],,
FEB,7.0,Hasee Toh Phasee,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma",Romance/Comedy,2014,[24],,
FEB,7.0,Heartless,Shekhar Suman,"Adhyayan Suman, Ariana Ayam, Om Puri, Deepti Naval, Madan Jain, Shekhar Suman",Thriller,2014,[25],,
FEB,7.0,Ya Rab,Hasnain Hyderabadwala,"Manzar Sehbai, Ajaz Khan, Akhilendra Mishra, Raju Kher, Kishori Shahane, Vikram Singh",Drama/Social,2014,[26],,
FEB,14.0,Gunday,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan",Action,2014,[27],,
FEB,14.0,Kaho Na Kaho,Sanjay Niranjan,"Sikandar, Roshni, Raja",Social,2014,[28],,
FEB,21.0,Darr @ the Mall,Pawan Kripalani,"Jimmy Sheirgill, Nushrat Bharucha, Arif Zakaria, Asif Basra, Nivedita Bhattacharya",Horror,2014,[29],,
FEB,21.0,Dee Saturday Night,Jay Prakash,"Prashant Narayanan, Arif Zakaria, Aman Verma, Mahi Khanduri, Gaurav Dixit, Nazneen Patel",Drama,2014,[30],,
FEB,21.0,Gulabi Gang,Nishtha Jain,Sampat Pal Devi,Documentary,2014,[31],,
FEB,21.0,Highway,Imtiaz Ali,"Randeep Hooda, Alia Bhatt",Drama/Romance,2014,[32],,
FEB,21.0,Karar: The Deal,Sabir,"Tarun Arora, Mahek Chahal, Jyothi Rana",Thriller,2014,[33],,
FEB,21.0,Pyar Ka Live Show,Shailendra Singh Rajput,"Ishrat Ali, Rudraksh Pundhir, Rajni Mehta, Upasana Singh, Mushtaq Khan, Adi Irani, Shiva Rindan",Drama,2014,[34],,
FEB,21.0,The Dark Secrets Of Tonhi,Shiraz Henry,"Natasha Sikka, J. Brandon Hill, Alex Peters, Smitha Siah, Priyanka Joshi",Drama/Action,2014,[35],,
FEB,28.0,Anuradha,Raju Mavani,"Sachin Khedekar, Smita Jaykar, Disha Choudhary, Shagun Sharma, Rahul Jain, Manoj Joshi, Kishori Shahane, Hrishitaa Bhatt, Aakash Sharma, Raju Mavani, Ganesh Acharya, Manoj Tiwari, Prashant Upadhyay",Drama,2014,[36],,
FEB,28.0,Shaadi Ke Side Effects,Saket Chaudhary,"Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor, Gautami Kapoor, Purab Kohli, Rati Agnihotri",Romance/Comedy,2014,[37],,
MAR,7.0,Gulaab Gang,Soumik Sen,"Madhuri Dixit, Juhi Chawla",Social/Action,2014,[38],,
MAR,7.0,Queen,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",Romance/Drama,2014,[39],,
MAR,7.0,Total Siyapaa,E Niwas,"Ali Zafar, Yami Gautam, Sara Khan, Anupam Kher, Kiron Kher",Drama/Comedy,2014,[40],,
MAR,14.0,Bewakoofiyaan,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor",Romance,2014,[41],,
MAR,14.0,Neighbours,Shyam Ramsay,"Arbaaz Ali Khan, Roushika Reikhi, Shakti Kapoor, Gavie Chahal, Rufy Khan, Hritu Dudani, Kirti Vaidhya, Prince Sodhi, Sunny Singh",Horror,2014,[42],,
MAR,14.0,W,Tarun Madan Chopra,"Danish Pandor, Raaj Singh Arora, Leslie Tripathy, Sonal Giani, Meer Ali, Abhey Attri",Thriller,2014,[43],,
MAR,21.0,Ankhon Dekhi,Rajat Kapoor,"Sanjay Mishra, Rajat Kapoor, Samit Das, Brijendra Kala",Comedy,2014,[44],,
MAR,21.0,Gang of Ghosts,Satish Kaushik,"Parambrata Chatterjee, Sharman Joshi, Mahie Gill, Anupam Kher, Meera Chopra, Saurabh Shukla, Chunky Pandey",Horror Comedy,2014,[45],,
MAR,21.0,Lakshmi,Nagesh Kukunoor,"Monali Thakur, Satish Kaushik, Shefali Shetty, Ram Kapoor",Drama,2014,[46],,
MAR,21.0,Ragini MMS 2,Bhushan Patel,"Sunny Leone, Parvin Dabas, Divya Dutta",Horror/Adult,2014,[47],,
MAR,28.0,Dishkiyaoon,Sanamjit Talwar,"Sunny Deol, Harman Baweja, Ayesha Khanna, Prashant Narayanan",Action,2014,[48],,
MAR,28.0,O Teri,Umesh Bist,"Pulkit Samrat, Sarah-Jane Dias, Bilal Amrohi, Anupam Kher, Mandira Bedi, Vijay Raaz, Manoj Pahwa",Comedy,2014,[49],,
MAR,28.0,Station,Saad Khan,"Sameer Kevin Roy, Kanika Batra, Vibhinta Verma, Siddhanth Sundar",Thriller,2014,[50][51],,
MAR,28.0,Youngistaan,Syed Ahmad Afzal,"Jackky Bhagnani, Neha Sharma, Farooq Shaikh, Boman Irani",Drama,2014,[52],,
APR,4.0,Ebn-E-Batuta,Varun Middha,"Omkar Das Manikpuri, Rajeev Verma, Dev Gohar, Satyendra Khare, Nazea Sayed, Neelam Singh",Sci-fi/Comedy,2014,[53],,
APR,4.0,Honour Killing,Avtar Bhogal,"Zara Sheikh, Sandeep Singh, Tom Alter, Gulshan Grover, Prem Chopra",Social,2014,[54],,
APR,4.0,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma",Drama/Fantasy,2014,[55],,
APR,4.0,Main Tera Hero,David Dhawan,"Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Abhimanyu Singh, Evelyn Sharma",Comedy,2014,[56],,
APR,11.0,Bhoothnath Returns,Nitesh Tiwari,"Amitabh Bachchan, Parth Bhalerao, Boman Irani, Anurag Kashyap, Usha Jadhav",Fantasy/Children,2014,[57],,
APR,18.0,2 States,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Ronit Roy",Romance,2014,[58],,
APR,18.0,Dekh Tamasha Dekh,Feroz Abbas Khan,"Satish Kaushik, Ganesh Yadav",Comedy,2014,[59],,
APR,18.0,Lucky Kabootar,Shammi Chhabra,"Ravi Kishan, Eijaz Khan, Kulraj Randhawa, Shraddha Das, Sanjay Mishra, Madhavi Sharma",Romance/Comedy,2014,[60],,
APR,25.0,Kaanchi: The Unbreakable,Subhash Ghai,"Mishti, Kartik Aaryan, Rishi Kapoor, Mithun Chakraborty",Musical/Drama,2014,[61],,
APR,25.0,Revolver Rani,Sai Kabir,"Kangana Ranaut, Vir Das, Piyush Mishra, Zakir Hussain",Drama,2014,[62],,
APR,25.0,Samrat & Co.,Kaushik Ghatak,"Rajeev Khandelwal, Madalasa Sharma",Mystery/Thriller/Drama,2014,[63],,
MAY,2.0,Purani Jeans,Tanushri Chattrji Bassu,"Tanuj Virwani, Aditya Seal, Izabelle Leite, Sarika, Rati Agnihotri",Romance/Drama,2014,[64],,
MAY,2.0,Kya Dilli Kya Lahore,Vijay Raaz,"Vijay Raaz, Manu Rishi, Raj Zutshi, Vishwajeet Pradhan",Social,2014,[65],,
MAY,2.0,Angry Young Man,Ramesh Rout,"Ajay Sinh Rathod, Prachi Sinha",Action,2014,[66],,
MAY,2.0,Kahin Hai Mera Pyar,Mahesh Vaijnath Doijode,"Abhishek Sethiya, Sonia Mann, Sanjay Kapoor, Jackie Shroff",Romance,2014,[67],,
MAY,9.0,Hawaa Hawaai,Amole Gupte,"Partho Gupte, Saqib Saleem, Pragya Yadav",Drama,2014,[68],,
MAY,9.0,Khwaabb,Zaid Ali Khan,"Navdip Singh, Simer Motiani, Nafisa Ali, Bajrang Bali Singh",Romance/Drama,2014,[69],,
MAY,9.0,Koyelaanchal,Ashu Trikha,"Vinod Khanna, Suniel Shetty, Vipino",Action,2014,[70],,
MAY,9.0,Manjunath,Sandeep A. Varma,"Divya Dutta, Seema Biswas, Asif Basra, Yashpal Sharma",Drama,2014,[71],,
MAY,9.0,Mastram,Akhilesh Jaiswal,"Rahul Bagga, Tara Alisha Berry",Adult,2014,[72],,
MAY,9.0,Yeh Hai Bakrapur,Janaki Vishwanathan,"Anshuman Jha, Asif Basra, Amit Sial, Uttkarsh Majumdar, Faiz Mohammad, Suruchi Aulakh, Yaushika Verma, Shamim Khan",Comedy,2014,[73],,
MAY,16.0,The Xposé,Ananth Narayan Mahadevan,"Himesh Reshammiya, Sonali Raut, Yo Yo Honey Singh, Zoya Afroz, Irrfan Khan. Adil Hussain",Thriller,2014,[74],,
MAY,16.0,Children of War,Mrityunjay Devvrat,"Farooq Shaikh, Victor Banerjee, Pawan Malhotra, Indraneil Sengupta",Drama,2014,[75],,
MAY,16.0,M3 - Midsummer Midnight Mumbai,Braj Bhushan,"Paras Chhabra, Sara Khan, M.A. Guddu, Pooja Thakur",Mystery,2014,[76],,
MAY,23.0,Heropanti,Sabbir Khan,"Tiger Shroff, Kriti Sanon & Prakash Raj",Romance/Action,2014,[77],,
MAY,30.0,CityLights,Hansal Mehta,"Rajkummar Rao, Patralekha",Drama,2014,[78],,
MAY,30.0,Kuku Mathur Ki Jhand Ho Gayi,Aman Sachdeva,"Siddharth Gupta, Simran Kaur Mundi, Pallavi Batra",Comedy,2014,[79],,
JUN,6.0,Filmistaan,Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Dutt",Comedy,2014,[80],,
JUN,6.0,Holiday: A Soldier Is Never Off Duty,A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Govinda",Action/Thriller,2014,[81],,
JUN,13.0,Fugly,Kabir Sadanand,"Jimmy Sheirgill, Mohit Marwah, Kiara Advani, Vijender Singh, Arfi Lamba",Comedy/Drama,2014,[82],,
JUN,13.0,Machhli Jal Ki Rani Hai,Debaloy Dey,"Bhanu Uday, Swara Bhaskar, Murali Sharma, Reema Debnath, Sakha Kalyani Deepraj Rana",Horror,2014,[83],,
JUN,20.0,Humshakals,Sajid Khan,"Saif Ali Khan, Esha Gupta, Riteish Deshmukh, Bipasha Basu, Ram Kapoor, Tamannaah Bhatia",Comedy/Drama/Romance,2014,[84],,
JUN,27.0,Ek Villain,Mohit Suri,"Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Aamna Sharif",Romance/Thriller,2014,[85],,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUN,,,,,,2014,,,
JUL,4.0,Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Arjan Bajwa, Anupriya Kapoor, Supriya Pathak, Tanvi Azmi",Comedy/Drama,2014,[86],,
JUL,4.0,Lekar Hum Deewana Dil,Arif Ali,"Armaan Jain, Deeksha Seth, Nikita Dutta",Romance/Comedy,2014,[87],,
JUL,11.0,Humpty Sharma Ki Dulhania,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Sidharth Shukla",Romance/Comedy,2014,[88],,
JUL,18.0,Hate Story 2,Vishal Pandya,"Surveen Chawla, Sushant Singh, Jay Bhanushali, Siddharth Kher, Rajesh Khera",Thriller,2014,[89],,
JUL,18.0,Bazaar-E-Husn,Ajay Mehra,"Om Puri, Reshmi Ghosh, Yashpal Sharma, Jeet Goshwami",Drama,2014,[90],,
JUL,18.0,Riyasat,Ashok Tyagi,"Rajesh Khanna, Aryaman Ramsay, Aryan Vaid, Raja Murad, Vishwajeet Pradhan",Drama/Action,2014,[91],,
JUL,18.0,Amit Sahni Ki List,Ajay Bhuyan,"Vir Das, Vega Tamotia, Anindita Nayar, Kavi Shastri",Romance/Comedy,2014,[92],,
JUL,18.0,Pizza,Akshay Akkineni,"Akshay Oberoi, Parvathy Omanakuttan, Dipannita Sharma",Horror,2014,[93],,
JUL,25.0,Kick,Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui, Randeep Hooda",Action/Comedy,2014,[94],,
AUG,8.0,Entertainment,Sajid-Farhad,"Akshay Kumar, Tamannaah Bhatia, Prakash Raj, Sonu Sood, Mithun Chakraborty",Comedy,2014,[95],,
AUG,15.0,Singham Returns,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Amol Gupte, Anupam Kher",Action,2014,[96],,
AUG,22.0,Life is Beautiful!,Manoj Amarnani,"Manoj Amarnani, Anokhi Dalvi, Nancy Brunetta, Parth Naik, Raj Zutshi",Romance,2014,[97],,
AUG,22.0,Mad About Dance,Saahil Prem,"Saahil Prem, Amrit Maghera",Dance,2014,[98],,
AUG,22.0,Mardaani,Pradeep Sarkar,"Rani Mukerji, Tahir Raj Bhasin, Jisshu Sengupta",Drama/Action,2014,[99],,
AUG,22.0,Mumbhai Connection,Atlanta Nagendra,"Rafiq Batcha, Srinivas, Dick Mays, Alieesa Badresia",Comedy,2014,[100],,
AUG,29.0,Raja Natwarlal,Kunal Deshmukh,"Emraan Hashmi, Humaima Malick, Paresh Rawal, Deepak Tijori, Kay Kay Menon",Thriller,2014,[101],,
SEP,5.0,Mary Kom,Omung Kumar,"Priyanka Chopra, Minakkshi Kalitaa, Zachary Coffin",Drama,2014,[102],,
SEP,12.0,Creature,Vikram Bhatt,"Bipasha Basu, Imran Abbas",Horror,2014,[103],,
SEP,12.0,Finding Fanny,Homi Adajania,"Naseeruddin Shah, Dimple Kapadia, Pankaj Kapur, Deepika Padukone, Arjun Kapoor",Comedy/Drama,2014,[104],,
SEP,19.0,Daawat-e-Ishq,Habib Faisal,"Aditya Roy Kapur, Parineeti Chopra, Anupam Kher",Comedy/Drama,2014,[105],,
SEP,19.0,Khoobsurat,Shashanka Ghosh,"Sonam Kapoor, Fawad Khan, Kiron Kher, Ratna Pathak, Aamir Raza Hussain",Romance/Comedy,2014,[106],,
SEP,26.0,3 A.M.,Vishal Mahadkar,"Rannvijay Singh, Anindita Nayar, Salil Acharya, Kavin Dave",Horror,2014,[107],,
SEP,26.0,Chaarfutiya Chhokare,Manish Harishankar,"Soha Ali Khan, Seema Biswas, Zakir Hussain",Thriller,2014,[108],,
SEP,26.0,Desi Kattey,Anand Kumar,"Suniel Shetty, Akhil Kapur, Jay Bhanushali, Sasha Agha, Tia Bajpai",Drama/Action,2014,[109],,
SEP,26.0,Meinu Ek Ladki Chaahiye,Abhishek Bindal,"Raghuvir Yadav, Puru Chibber, Reecha Sinha, Zakir Hussain",Social satire,2014,[110],,
SEP,26.0,Balwinder Singh Famous Ho Gaya,Sunil Agnihotri,"Mika Singh, Shaan, Gabriela Bertante",Comedy,2014,[111],,
