Opening,Opening.1,Title,Director,Cast,Genre,Year,Source,Studio,Production house
NOV,21.0,Happy Ending,Raj Nidimoru and Krishna DK,"Saif Ali Khan, Ileana D'Cruz, Govinda, Ranvir Shorey, Kalki Koechlin",Romance/Comedy,2014,[128],,
NOV,21.0,Titoo MBA,Amit Vats,"Nishant Dahiya, Pragya Jaiswal, Abhishek Kumar",Romance/Comedy,2014,[129],,
NOV,21.0,Wah Taj,Ajit Sinha,"Shreyas Talpade, Manjari Fadnis, Hemant Pandey, Rajesh Sharma, Vishwajeet Pradhan, Rakesh Shrivastav",Drama,2014,[130],,
NOV,28.0,Hum Hai Teen Khurafaati,Rajeshwar Chauhan,"Heena Panchal, Mausam Sharma, Pranshu Kaushal, Shrey Chhabra, Vrajesh Hirjee, Hemant Pandey, Razzak Khan, Brijendra Kala, Manoj Bakshi",Comedy,2014,[131],,
NOV,28.0,Ungli,Rensil D'Silva,"Emraan Hashmi, Randeep Hooda, Kangana Ranaut, Neil Bhoopalam, Angad Bedi, Sanjay Dutt",Drama,2014,[132],,
NOV,28.0,Zed Plus,Chandraprakash Dwivedi,"Adil Hussain, Mona Singh, Mukesh Tiwari, Sanjay Mishra, Kulbhushan Kharbanda, Rahul Singh, Shivani Tanksale, K K Raina, Ekavali Khanna, Anil Rastogi",Drama,2014,[133],,
NOV,28.0,Zid,Vivek Agnihotri,"Karanvir Sharma, Mannara Chopra, Shraddha Das",Erotica/Thriller,2014,[134],,
DEC,5.0,Action Jackson,Prabhu Deva,"Ajay Devgn, Sonakshi Sinha, Yami Gautam, Manasvi Mamgai, Kunaal Roy Kapur",Comedy/Action,2014,[135],,
DEC,5.0,Bhopal: A Prayer for Rain,Ravi Kumar,"Martin Sheen, Mischa Barton, Rajpal Yadav, Tannishtha Chatterjee, Akhil Mishra, Fagun Thakrar, Joy Sengupta, Kal Penn, Martin Brambach, David Brooks, Vineet Kumar, Satish Kaushik, Vasanth Santosham, Manoj Joshi",Drama,2014,[136],,
DEC,5.0,Mumbai Delhi Mumbai,Satish Rajwade,"Shiv Panditt, Piaa Bajpai",Drama,2014,[137],,
DEC,5.0,Sulemani Keeda,Amit Masurkar,"Naveen Kasturia, Mayank Tewari, Aditi Vasudev",Social/Drama,2014,[138],,
DEC,12.0,Badlapur Boys,Shailesh Verma,"Shashank Udapurkar, Annu Kapoor, Anupam Maanav, Kishori Shahane, Aman Verma, Saranya Mohan",Sports,2014,[139][140],,
DEC,12.0,Life Mein Twist Hai,Dinesh Soni,Shyam Avtar Kedia,Drama/Romance,2014,[141],,
DEC,12.0,LUV...Phir Kabhie,Ajay Yadav,"Saurabbh Roy, Arijita Roy, Meghna Patel, Narendra Bedi",Drama,2014,[142][143],,
DEC,12.0,Main Aur Mr. Riight,Adeeb Rais,"Varun Khandelwal, Danny Saru, Shenaz Treasuryvala, Barun Sobti, Kavi Shastri, Maia Sethna, Anagha Mane, Neha Gosain",Comedy/Romance,2014,[144][145],,
DEC,12.0,Objection My God,Amit Khan,"Makrand Deshpande, Sanjay Mishra, Rajesh Khattar, Zarina Wahab",Comedy,2014,[146][147][148],,
DEC,12.0,Room - The Mystery,Faizal Khan,"Atif Jamil, Ibra Khan, Roselyn Dsouza, Eshu Gambhir, Himir Gandhi, Rohit Juneja, Shashwita Sharma",Suspense/Thriller,2014,[149][150],,
DEC,19.0,PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Sanjay Dutt, Ram Sethi, Boman Irani",Comedy/Drama,2014,[113],,
DEC,26.0,Ugly,Anurag Kashyap,"Abir Goswami, Girish Kulkarni, Madhavi Singh, Ronit Roy, Anshikaa Shrivastava, Rahul Bhat, Tejaswini Kolhapure, Sandesh Jadhav",Thriller,2014,[151],,
JAN,2,International Hero,Sanjay Niranjan,"Nakul Vaid, Jatin Grewal, Gurleen Choter",Drama,2015,[11],,
JAN,2,Mumbai Can Dance Saala,Sachindra Sharma,"Ashima Sharma, Prashant Narayanan, Aditya Pancholi, Mukesh Tiwari",Thriller,2015,[12],,
JAN,2,Take It Easy,Sunil Prem Vyas,"Vikram Gokhale, Dipannita Sharma, Raj Zutshi, Anang Desai, Joy Sengupta, Sulabha Arya, Vijay Kashyap",Drama,2015,[13],,
JAN,9,Tevar,Amit Sharma,"Arjun Kapoor, Sonakshi Sinha, Raj Babbar, Manoj Bajpai","Action, Romance",2015,[14][15],,
JAN,16,Alone,Bhushan Patel,"Bipasha Basu, Karan Singh Grover",Horror,2015,[16],,
JAN,16,Crazy Cukkad Family,Ritesh Menon,"Swanand Kirkire, Shilpa Shukla, Ninad Kamat, Kushal Punjabi, Kiran Karmarkar, Yusuf Hussain",Comedy,2015,[17][18],,
JAN,16,Sharafat Gayi Tel Lene,Gurmmeet Singh,"Zayed Khan, Tina Desai, Rannvijay Singh, Talia Benson, Anupam Kher","Comedy, Thriller",2015,[19][20],,
JAN,23,Baby,Neeraj Pandey,"Akshay Kumar, Taapsee Pannu, Rana Daggubati, Anupam Kher, Kay Kay Menon, Danny Denzongpa",Thriller,2015,[21],,
JAN,23,Dolly Ki Doli,Abhishek Dogra,"Sonam Kapoor, Pulkit Samrat, Rajkummar Rao, Varun Sharma","Romantic, Comedy",2015,[22][23],,
JAN,30,Chal Guru Ho Ja Shuru,Manoj Sharma,"Hemant Pandey, Chandrachur Singh, Sanjay Mishra, Manoj Pahwa",Comedy,2015,,,
JAN,30,Hawaizaada,Vibhu Puri,"Ayushmann Khurrana, Pallavi Sharda",Drama,2015,[24][25],,
JAN,30,Khamoshiyan: Silences Have Secrets,Karan Dara,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi",Horror,2015,[26][27],,
JAN,30,Rahasya,Manish Gupta,"Tisca Chopra, Ashish Vidyarthi, Kay Kay Menon",Mystery,2015,[28],,
FEB,6,Jai Jawaan Jai Kisaan,Milan Ajmera,"Jatin Khurana, Om Puri, Prem Chopra, Rati Agnihotri, Rishi Bhutani, Sanjay Chakraborty, Akhilesh Jain",Drama,2015,[29],,
FEB,6,Shamitabh,R. Balki,"Amitabh Bachchan, Dhanush, Akshara Haasan",Drama,2015,[23][30],,
FEB,13,MSG: The Messenger,"Gurmeet Ram Rahim Singh, Jeetu Arora","Gurmeet Ram Rahim Singh, Daniel Kaleb, Flora Saini, Jayshree Soni, Olexandra Semen, Gaurav Gera, Jay Singh Rajpoot, Himanshu Tiwari","Action, Drama",2015,[31],,
FEB,13,Roy,Vikramjit Singh,"Ranbir Kapoor, Jacqueline Fernandez, Arjun Rampal","Romance, Thriller",2015,[32][33],,
FEB,20,Badlapur,Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Huma Qureshi, Yami Gautam, Vinay Pathak, Divya Dutta","Action, Thriller",2015,[34][35],,
FEB,20,Qissa,Anup Singh,"Irrfan Khan, Tillotama Shome, Tisca Chopra, Faezeh Jalali, Rasika Duggal",Historical Drama,2015,[36],,
FEB,27,Ab Tak Chhappan 2,Aejaz Gulab,"Nana Patekar, Ashutosh Rana, Vikram Gokhale, Gul Panag","Crime, Drama",2015,[37],,
FEB,27,Dum Laga Ke Haisha,Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar",Comedy,2015,[38][39],,
MAR,4,Badmashiyaan,Amit Khanna,"Suzzanna Mukherjee, Sidhant Gupta, Gunjan Malhotra, Sharib Hashmi, Karan Mehra",Romantic comedy,2015,[40],,
MAR,4,Coffee Bloom,Manu Warrier,"Arjun Mathur, Sugandha Garg, Mohan Kapur","Romance, Drama",2015,[41],,
MAR,4,Dirty Politics,K. C. Bokadia,"Mallika Sherawat, Naseeruddin Shah, Jackie Shroff, Atul Kulkarni, Anupam Kher, Ashutosh Rana",Political Drama,2015,[42][43],,
MAR,4,Hey Bro,Ajay Chandhok,"Ganesh Acharya, Nupur Sharma, Maninder Singh","Comedy, Action",2015,[44],,
MAR,13,NH10,Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Darshan Kumar",Thriller,2015,[45],,
MAR,20,Dilliwali Zaalim Girlfriend,Japinder Kaur,"Divyendu Sharma, Jackie Shroff, Prachi Mishra, Ira Dubey",Comedy,2015,,,
MAR,20,Hunterrr,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar",Comedy,2015,[46],,
MAR,27,Barkhaa,Shadaab Mirza,"Sara Loren, Taaha Shah, Shweta Pandit, Priyanshu Chatterjee",Romance,2015,[47],,
APR,3,Detective Byomkesh Bakshy!,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Swastika Mukherjee, Divya Menon, Neeraj Kabi, Meiyang Chang",Thriller,2015,[48],,
APR,3,Luckhnowi Ishq,Aanand Raut,"Adhyayan Suman, Karishma Kotak",Romance,2015,[49],,
APR,10,Dharam Sankat Mein,Fuwad Khan,"Naseeruddin Shah, Paresh Rawal, Annu Kapoor, Murali Sharma",Drama,2015,[50],,
APR,10,Ek Paheli Leela,Bobby Khan,"Sunny Leone, Jay Bhanushali, Mohit Ahlawat, Rajneesh Duggal, Rahul Dev, Jas Arora",Musical,2015,[51],,
APR,17,Court,Chaitanya Tamhane,"Vira Satidhar, Vivek Gombher, Geetanjali Kulkarni",Drama,2015,[52],,
APR,17,Margarita with a Straw,Shonali Bose,"Kalki Koechlin, Revathi, Hussain Dalal",Drama,2015,,,
APR,17,Mr. X,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur",Sci fi/thriller,2015,[53][54],,
APR,17,NH-8 Road to Nidhivan,Munindra Gupta,"Auroshikha Dey, Ravneet Kaur, Satyakam Anand, Arjun Fauzdar, Swaroopa Ghosh",Horror,2015,[55],,
APR,17,Ek Adbhut Dakshina Guru Dakshina,Kiran Phadnis,"Rajeev Govinda Pillai, Rajesh Shringarpure, Sulagna Panigrahi, Girish Karnad, Roopa Ganguly",Dance/drama,2015,[56],,
APR,24,Ishq Ke Parindey,Shakir Khan,"Rishi Verma, Priyanka Mehta, Manjul Aazad, Yasir Iftikhar Khan",Romance,2015,[57],,
APR,24,Kaagaz Ke Fools,Anil Kumar Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Saurabh Shukla, Rajendra Sethi, Amit Behl",Comedy,2015,[58],,
MAY,1,Gabbar Is Back,Krish,"Akshay Kumar, Shruti Haasan, Suman",Crime/action,2015,[59][60][61][62],,
MAY,1,Sabki Bajegi Band,Anirudh Chawla,"Sumeet Vyas, Swara Bhaskar, Alekh Sangal, Shaurya Chauhan, Amol Parashar",Thriller/drama,2015,[63],,
MAY,8,Kuch Kuch Locha Hai,Devang Dholakia,"Ram Kapoor, Sunny Leone, Evelyn Sharma, Navdeep Chabbra",Comedy,2015,,,
MAY,8,Piku,Shoojit Sircar,"Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Moushumi Chatterjee, Jisshu Sengupta",Comedy/drama,2015,[64][65],,
MAY,15,Bombay Velvet,Anurag Kashyap,"Ranbir Kapoor, Anushka Sharma, Karan Johar, Kay Kay Menon",Crime/drama,2015,[66],,
MAY,22,Main Hoon Part-Time Killer,Faisal Saif,"Adithya Menon, Kavita Radheshyam","Spoof, comedy, thriller",2015,[54][67],,
MAY,22,Tanu Weds Manu: Returns,Anand L. Rai,"R. Madhavan, Kangana Ranaut",Romance/comedy,2015,[54][68],,
MAY,27,Waiting,Anu Menon,"Naseeruddin Shah, Kalki Koechlin, Arjun Mathur, Rajat Kapoor, Suhasini Maniratnam",Drama,2015,[69][70],,
MAY,29,I Love Desi,Pankaj Batra,"Vedant Bali, Priyanka Shah, Gulshan Grover",Comedy,2015,[54][71],,
MAY,29,Ishqedarriyaan,V. K. Prakash,"Mahaakshay Chakraborty, Evelyn Sharma, Kavin Dave, Mohit Dutta",Drama,2015,[72],,
MAY,29,P Se PM Tak,Kundan Shah,"Meenakshi Dixit, Rocky Verma, Bharat Jadhav, Yashpal Sharma",Comedy,2015,[54][73],,
MAY,29,Welcome 2 Karachi,Ashish R Mohan,"Arshad Warsi, Jackky Bhagnani, Lauren Gottlieb, Ayub Khoso, Adnan Shah, Imran Hasnee",Comedy,2015,[74][75],,
JUN,5,Dil Dhadakne Do,Zoya Akhtar,"Ranveer Singh, Priyanka Chopra, Farhan Akhtar, Anushka Sharma, Anil Kapoor, Shefali Shah",Drama,2015,[76][77],,
JUN,5,Mere Genie Uncle,Ashish Bhavsar,"Tiku Talsania, Swati Kapoor, Shakti Kapoor, Ehsaan Qureshi",Drama,2015,[78],,
JUN,12,Hamari Adhuri Kahani,Mohit Suri,"Emraan Hashmi, Vidya Balan, Rajkummar Rao",Romance/drama,2015,[54][79],,
JUN,19,ABCD 2,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor, Prabhu Deva, Lauren Gottlieb, Dharmesh Yelande, Punit Pathak, Raghav Juyal",Dance,2015,[80],,
JUN,26,Miss Tanakpur Haazir Ho,Vinod Kapri,"Annu Kapoor, Om Puri, Rahul Bagga, Hrishitaa Bhatt",Comedy/drama,2015,[81],,
JUN,26,Uvaa,Jasbir Bhaati,"Om Puri, Jimmy Sheirgill, Sangram Singh, Archana Puran Singh",Social/comedy,2015,[82],,
JUL,3,Bezubaan Ishq,Jashwant Gangani,"Nishant Malkani, Mugdha Godse, Sneha Ullal",Romance,2015,[83],,
JUL,3,Guddu Rangeela,Subhash Kapoor,"Arshad Warsi, Aditi Rao Hydari, Amit Sadh",Comedy,2015,[84],,
JUL,3,Second Hand Husband,Smeep Kang,"Gippy Grewal, Tina Ahuja, Dharmendra",Drama,2015,[85],,
JUL,10,I Love NY,Radhika Rao,"Sunny Deol, Kangana Ranaut",Romance/drama,2015,[86][87],,
JUL,10,Thoda Lutf Thoda Ishq,Sachin Gupta,"Hiten Tejwani, Sanjay Mishra",Romance/drama,2015,[87][86],,
JUL,17,Bajrangi Bhaijaan,Kabir Khan,"Salman Khan, Kareena Kapoor, Nawazuddin Siddiqui, Harshaali Malhotra","Action, comedy, drama",2015,[88][89],,
JUL,24,Aisa Yeh Jahaan,Biswajeet Bora,"Palash Sen, Ira Dubey, Kymsleen Kholie, Yashpal Sharma",Drama,2015,[90],,
JUL,24,Masaan,Neeraj Ghaywan,"Richa Chadha, Vicky Kaushal, Sanjay Mishra, Shweta Tripathi",Drama,2015,[91],,
JUL,31,Drishyam,Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran, Rajat Kapoor",Drama/thriller,2015,[92][93],,
AUG,7,Bangistan,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat",Comedy,2015,[94],,
AUG,14,Brothers,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jacqueline Fernandez, Jackie Shroff, Conan Stevens",Drama,2015,[95][96][97],,
AUG,14,Gour Hari Dastaan,Ananth Narayan Mahadevan,"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee",Drama,2015,[98],,
AUG,21,All Is Well,Umesh Shukla,"Abhishek Bachchan, Asin Thottumkal, Rishi Kapoor, Supriya Pathak",Drama,2015,[99],,
AUG,21,Manjhi – The Mountain Man,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte",Drama,2015,[100],,
AUG,21,Rolling Dream,Maahi Kaur,Saachi Tiwari,Drama,2015,[101],,
AUG,28,Kaun Kitney Paani Mein,Nila Madhab Panda,"Saurabh Shukla, Radhika Apte, Gulshan Grover",Social/drama,2015,[102],,
AUG,28,Phantom,Kabir Khan,"Saif Ali Khan, Katrina Kaif",Action/thriller,2015,[103][104][105],,
SEP,4,Welcome Back,Anees Bazmee,"John Abraham, Shruti Hassan, Anil Kapoor, Nana Patekar, Paresh Rawal, Dimple Kapadia",Romance/comedy,2015,[106],,
SEP,11,Hero,Nikhil Advani,"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia, Aditya Pancholi, Sharad Kelkar",Action/romance,2015,[107][108][109],,
SEP,11,Sorry Daddy,Vijay Pal and Shakur,"Shamim Khan, Mukesh Tiwari, Tinu Verma",Action/drama,2015,[110],,
SEP,18,Katti Batti,Nikhil Advani,"Imran Khan, Kangana Ranaut",Romance/comedy,2015,[111],,
SEP,18,Meeruthiya Gangster,Zeishan Quadri,"Jaideep Ahlawat, Aakash Dahiya, Shadab Kamal, Nushrat Bharucha, Ishita Sharma",Crime/comedy,2015,[112],,
SEP,18,25,Comedy,Abbas-Mustan,Kis Kisko Pyaar Karoon,2015,"Kapil Sharma, Arbaz Khan, Manjari Phadnis, Simran Kaur Mundi, Elli Avram, Sai Lokur, Varun Sharma, Supriya Pathak",,
SEP,Bhaag Johnny,25,Shivam Nair,"Kunal Khemu, Zoa Morani, Mandana Karimi",Drama,2015,[113],,
SEP,Time Out,25,Rikhil Bahadur,"Chirag Malhotra, Pranay Pachauri",Drama,2015,[114],,
SEP,Mumbhaii - The Gangster,25,Rajiv Ranjan,"Sanjay Kapoor, Mahima Chaudhry, Om Puri, Arya Babbar",Crime/Drama,2015,[115],,
SEP,25,,,,,2015,,,
SEP,,,,,,2015,,,
SEP,,,,,,2015,,,
OCT,2,Singh Is Bliing,Prabhu Deva,"Akshay Kumar, Amy Jackson",Comedy,2015,[116],,
OCT,2,Talvar,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Tabu",Thriller,2015,[117],,
OCT,9,Jazbaa,Sanjay Gupta,"Aishwarya Rai Bachchan, Irrfan Khan, Shabana Azmi",Action/drama,2015,[118],,
OCT,16,Bumper Draw,Irshad Khan,"Rajpal Yadav, Zakir Hussain, Subrat Dutta, Rushad Rana",Comedy,2015,[119],,
OCT,16,Chinar Daastaan-E-Ishq,Sharique Minhaj,"Faisal Khan, Inayat Sharma, Dalip Tahil, Shahbaz Khan",Romantic/drama,2015,,,
OCT,16,Pyaar Ka Punchnama 2,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgal, Omkar Kapoor",Comedy,2015,[120],,
OCT,16,Wedding Pullav,Binod Pradhan,"Anushka Ranjan, Diganth Manchale, Karan Grover, Rishi Kapoor, Sonalli Sehgal",Comedy,2015,[121],,
OCT,22,Shaandaar,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur",Romance/comedy,2015,[122],,
OCT,30,Titli,Kanu Behl,"Shashank Arora, Ranvir Shorey, Amit Sial, Lalit Behl",Crime,2015,[123],,
OCT,30,Main Aur Charles,Prawaal Raman,"Randeep Hooda, Richa Chadha, Adil Hussain, Nandu Madhav",Thriller,2015,[124],,
OCT,30,Once Upon a Time in Bihar,Nitin Chandra,"Ashish Vidyarthi, Kranti Prakash Jha, Ajay Kumar, Arti Puri, Pankaj Jha, Deepak Singh",Political,2015,[125],,
OCT,30,Guddu Ki Gun,"Shantanu Ray Chhibber, Sheershak Anand","Kunal Khemu, Payel Sarkar, Aparna Sharma, Sumeet Vyas",Comedy,2015,[126],,
OCT,30,Love Exchange,Raj V Shetty,"Mohit Madan, Jyoti Sharma",Romance,2015,[127],,
OCT,30,Prithipal Singh... A Story,Babita Puri,"Vikas Kumar, Anjali Singh",Biopic,2015,[128],,
NOV,6,Four Pillars of Basement,Giresh Naik K,"Dillzan Wadia, Bruna Abdullah, Aaliya Singh, Zakir Hussain",Thriller,2015,[129],,
NOV,6,Charlie Kay Chakkar Mein,Manish Srivasta,Naseeruddin Shah,Crime/thriller,2015,[130],,
NOV,6,Yaara Silly Silly,Subhash Sehgal,"Paoli Dam, Parambrata Chatterjee",Romance,2015,[131],,
NOV,6,Ranbanka,Aryeman Ramsay,"Manish Paul, Ravi Kishan, Pooja Thakur",Action,2015,[132],,
NOV,13,Prem Ratan Dhan Payo,Sooraj Barjatya,"Salman Khan, Sonam Kapoor, Neil Nitin Mukesh, Swara Bhaskar, Armaan Kohli, Anupam Kher, Deepak Dobriyal, Sanjay Mishra",Romance,2015,[133],,
NOV,20,X: Past Is Present,Various Directors,"Rajat Kapoor, Huma Qureshi",Anthology,2015,[134],,
NOV,27,Angry Indian Goddesses,Pan Nalin,"Sarah-Jane Dias, Tannishtha Chatterjee, Anushka Manchanda, Sandhya Mridul",Drama,2015,[135],,
NOV,27,Tamasha,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor",Romance,2015,[136],,
DEC,4,Hate Story 3,Vishal Pandya,"Zarine Khan, Daisy Shah, Sharman Joshi, Karan Singh Grover",Adult/thriller,2015,[137],,
DEC,4,Kajarya,Madhureeta Anand,"Meenu Hooda, Ridhima Sud, Kuldeep Ruhil",Drama,2015,[138],,
DEC,11,The Silent Heroes,Mahesh Bhatt,"Maanuv Bhardawaj, Priyanka Panchal, Mann Bagga, Simran Deep, Nirmal Kumar Pant",Adventure,2015,[139],,
DEC,18,Bajirao Mastani,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra",Romance,2015,[140][141],,
DEC,18,Dilwale,Rohit Shetty,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon",Action/romance,2015,[142][143][144][145],,
JAN,8,Wazir,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham, Neil Nitin Mukesh",Thriller,2016,,,
JAN,15,Chalk n Duster,Jayant Gilatar,"Shabana Azmi, Juhi Chawla, Divya Dutta, Zarina Wahab, Jackie Shroff, Arya Babbar, Richa Chadha",Drama,2016,,,
JAN,15,Rebellious Flower,Krishan Hooda,"Prince Shah, Shashank Singh, Mantra Mugdha, Kirti Adarkar, Bachchan Pachera, Shaneel Sinha",Biopic,2016,,,
JAN,22,Airlift,Raja Krishna Menon,"Akshay Kumar, Nimrat Kaur, Purab Kohli, Ferena Wazeir, Gunjan Malhotra",War/Thriller,2016,,,
JAN,22,Jugni,Shefali Bhushan,"Sugandha Garg, Siddhant Behl, Sadhana Singh, Anuritta K Jha, Samir Sharma",Musical drama,2016,,,
JAN,22,Kyaa Kool Hain Hum 3,Umesh Ghadge,"Tushar Kapoor, Aftab Shivdasani, Mandana Karimi, Meghna Naidu, Darshan Jariwala, Krushna Abhishek, Claudia Ciesla, Riteish Deshmukh, Gizele Thakral, VJ Andy, Danny Saru",Adult comedy,2016,,,
JAN,29,Saala Khadoos,Sudha Kongara Prasad,"R. Madhavan, Ritika Singh",Sports,2016,,,
JAN,29,Mastizaade,Milap Milan Zaveri,"Tushar Kapoor, Vir Das, Sunny Leone, Shaad Randhawa, Riteish Deshmukh, Gizele Thakral, Bruna Abdullah",Adult comedy,2016,,,
FEB,5,Sanam Teri Kasam,"Radhika Rao, Vinay Sapru","Mawra Hocane, Harshvardhan Rane, Anurag Sinha, Shraddha Das",Romance,2016,,,
FEB,5,Ghayal: Once Again,Sunny Deol,"Sunny Deol, Soha Ali Khan, Aanchal Munjal, Daina Khan, Shivam Patil, Rishabh Arora, Abhilash Kumar",Action/drama,2016,,,
FEB,12,Fitoor,Abhishek Kapoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Ajay Devgn, Aditi Rao Hydari, Akshay Oberoi, Lara Dutta, Rahul Bhatt",Romance/drama,2016,,,
FEB,12,Sanam Re,Divya Khosla Kumar,"Pulkit Samrat, Yami Gautam, Urvashi Rautela, Rishi Kapoor, Bharti Singh, Shreyas Pardiwalla",Romance,2016,,,
FEB,19,Direct Ishq,Rajiv S. Ruia,"Rajneesh Duggal, Nidhi Subbaiah, Arjun Bijlani",Drama,2016,,,
FEB,19,Ishq Forever,Sameer Sippy,"Krishna Chaturvedi, Ruhi Singh, Javed Jaffrey, Lisa Ray",Drama,2016,,,
FEB,19,LoveShhuda,Vaibhav Mishra,"Girish Kumar, Navneet Kaur Dhillon, Benaf Dadachandji, Yash Pandit",Romance,2016,,,
FEB,19,Neerja,Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Shekhar Ravjiani",Biopic/drama,2016,,,
FEB,26,Dhara 302,Jitender Singh Narukal,"Rufy Khan, Dipti Dhotre, Gulshan Pandey",Actiom/drama,2016,,,
FEB,26,Aligarh,Hansal Mehta,"Manoj Bajpayee, Rajkummar Rao",Biopic/drama,2016,,,
FEB,26,Bollywood Diaries,K.D. Satyam,"Raima Sen, Ashish Vidyarthi, Salim Diwan, Karuna Pandey, Vineet Kumar Singh",Drama,2016,,,
FEB,26,Love Shagun,Sandesh Nayak,"Anuj Sachdeva, Nidhi Subbaiah, Manit Joura",Romance/comedy,2016,,,
FEB,26,Tere Bin Laden: Dead or Alive,Abhishek Sharma,"Manish Paul, Sikander Kher, Pradhuman Singh, Sugandha Ram",Comedy,2016,,,
MAR,4,Zubaan,Mozez Singh,"Vicky Kaushal, Sarah Jane Dias, Raghav Chanana",Drama,2016,,,
MAR,4,Jai Gangaajal,Prakash Jha,"Priyanka Chopra, Anuj Aggarwal, Prakash Jha, Rahul Bhatt",Drama/comedy,2016,,,
MAR,11,Global Baba,Manoj Sidheshwari Tewari,"Abhimanyu Singh, Sandeepa Dhar, Ravi Kishan, Pankaj Tripathi, Sanjay Mishra, Akhilendra Mishra",Satire,2016,,,
MAR,11,Teraa Surroor,Shawn Arranha,"Himesh Reshammiya, Farah Karimi, Monica Dogra, Naseeruddin Shah, Shekhar Kapur",Action/thriller/romance,2016,,,
MAR,11,OK Mein Dhokhe,Utpal S. Chaudhary,"Zoya Rathore, Sapan Krishna, Vaidhei Singh, Megha Verma, Ravi Thakur, Milan Singh",Drama/thriller,2016,,,
MAR,18,Kapoor & Sons,Shakun Batra,"Sidharth Malhotra, Alia Bhatt, Fawad Khan, Rishi Kapoor",Drama/comedy,2016,,,
MAR,25,Rocky Handsome,Nishikant Kamat,"John Abraham, Shruti Haasan, Nathalia Kaur",Action,2016,,,
APR,1,Ki & Ka,R. Balki,"Kareena Kapoor, Arjun Kapoor, Amitabh Bachchan, Jaya Bachchan",Romantic comedy,2016,,,
APR,8,Love Games,Vikram Bhatt,"Patralekha, Tara Alisha Berry, Gaurav Arora",Thriller,2016,,,
APR,8,The Blueberry Hunt,Anup Kurien,"Naseeruddin Shah, Vipin Sharma, Vinay Forrt",Thriller,2016,,,
APR,10,Kaafiron Ki Namaaz,Ram Ramesh Sharma,"Alok Chaturvedi, Joydip Mukhopadhyay, Megh Pant, Priya Raina, Chandrahas Tiwari",Drama,2016,,,
APR,15,Fan,Maneesh Sharma,"Shah Rukh Khan, Waluscha de Sousa, Sayani Gupta, Shriya Pilgaonkar",Action/drama/thriller,2016,,,
APR,22,Nil Battey Sannata,Ashwini Iyer Tiwari,"Swara Bhaskar, Ratna Pathak, Pankaj Tripathi, Sanjay Suri",Comedy/drama,2016,,,
APR,22,Laal Rang,Syed Ahmad Afzal,"Randeep Hooda, Akshay Oberoi, Rajneesh Duggal, Piaa Bajpai",Action,2016,,,
APR,22,Santa Banta Pvt Ltd,Akashdeep Sabir,"Vir Das, Boman Irani, Ram Kapoor, Neha Dhupia, Lisa Haydon",Comedy,2016,,,
APR,29,Baaghi,Sabbir Khan,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Sunil Grover",Action,2016,,,
APR,29,Shortcut Safari,Amitabha Singh,"Jimmy Shergill, Aashi Rawal, Sharvil Patel, Mann Patel, Ugam Khetani, Stuti Dwivedi, Deah Tandon, Hardil Kanaba","Adventure, drama",2016,,,
MAY,6,One Night Stand,Jasmine Moses D'Souza,"Sunny Leone, Tanuj Virwani, Nyra Banerjee",Thriller,2016,,,
MAY,6,Traffic,Rajesh Pillai,"Manoj Bajpayee, Jimmy Sheirgill, Divya Dutta, Kitu Gidwani, Prosenjit Chatterjee, Sachin Khedekar, Nikita Thukral, Vishal Singh, Parambrata Chatterjee",Thriller,2016,,,
MAY,6,1920: London,Tinu Suresh Desai,"Sharman Joshi, Meera Chopra, Vishal Karwal",Horror,2016,,,
MAY,6,Murari the Mad Gentleman,,,Comedy,2016,,,
