Title,Director,Cast,Genre,Sources,Year,Source,Composer,Music director
Zalzala,Harish Shah,"Dharmendra, Shatrughan Sinha, Rati Agnihotri, Kimi Katkar, Rajiv Kapoor, Danny Denzongpa, Anita Raj, Vijeta Pandit, Gulshan Grover",Action,,1988,,Rahul Dev Burman,
Zinda Jala Doonga,Kiran Kumar,,,,1988,,,
Zulm Ko Jala Doonga,Mahendra Shah,"Naseeruddin Shah, Kiran Kumar",Action,,1988,,Nadeem-Shravan,
Aag Ka Gola,David Dhawan,"Sunny Deol, Dimple Kapadia, Shakti Kapoor, Archana Puran Singh",Action,,1989,,,Bappi Lahiri
Asmaan Se Ooncha,Mehul Kumar,"Jeetendra, Sonam, Govinda, Anita Raj, Raj Babbar",Drama,,1989,,,Rajesh Roshan
Awara Zindagi,A. A. Darpan,"Raj Kiran, Jagdish Raj, Kader Khan",,,1989,,,Jagdish J.
Babul,,,,,1989,,,
Bade Ghar Ki Beti,Kalpataru,"Meenakshi Seshadri, Rishi Kapoor, Shammi Kapoor, Raj Kiran, Gulshan Grover, Kader Khan",Drama,,1989,,,Laxmikant–Pyarelal
Bahurani,Manik Chatterjee,"Rekha, Rakesh Roshan, Utpal Dutt, Deven Verma, Rakesh Bedi",Drama,,1989,,,Rahul Dev Burman
Bandook Dahej Ke Seenay Par,Ramgopal Gupta,"Sadashiv Amrapurkar, Sonika Gill, Gulshan Grover",,,1989,,,
Batwara,J.P. Dutta,"Dharmendra, Vinod Khanna, Dimple Kapadia, Amrita Singh, Poonam Dhillon, Shammi Kapoor, Mohsin Khan, Amrish Puri","Drama, Action",,1989,,,Laxmikant–Pyarelal
Bhrashtachar,Ramesh Sippy,"Mithun Chakraborty, Rekha, Rajnikanth, Shilpa Shirodkar, Abhinav Chaturvedi, Anupam kher, Raza Murad","Drama, Action",,1989,,,Laxmikant–Pyarelal
Billoo Badshah,Sisir Misra,"Govinda, Neelam Kothari, Anita Raj, Shatrughan Sinha, Kader Khan",,,1989,,,Jagjit Singh
ChaalBaaz,Pankaj Parashar,"Sridevi, Rajnikanth, Sunny Deol, Anupam Kher","Romance, Comedy",,1989,,,Laxmikant Pyarelal
Chaalu Pe Chaalu,,,,,1989,,,
Chahungi Tujhe Bar Bar,,,,,1989,,,
Chandni,Yash Chopra,"Vinod Khanna, Rishi Kapoor, Sridevi, Waheeda Rehman, Sushma Seth, Anupam Kher, Juhi Chawla",Romance,,1989,,,Shiv-Hari
Charana,,,,,1989,,,
Chingari,Ram Maheshwari,"Sanjay Khan, Leena Chandavarkar, Pran, Shatrughan Sinha, Tiwari",Drama,,1989,,,Ravi
Clerk,Manoj Kumar,"Manoj Kumar, Mohammed Ali, Shashi Kapoor, Rekha",Drama,,1989,,,Uttam Jagadish
