Title,Director,Cast,Genre,Music director,Year,Sources,Opening,Opening.1
13B,Vikram K. Kumar,"R. Madhavan, Neetu Chandra, Saranya, Poonam Dhillon, Ravibabu, Sachin Khedekar, Deepak Dobriyal, Murli Sharma",Horror,,2009,,MAR,6.0
Dhoondte Reh Jaaoge,Umesh Shukla,"Kunal Khemu, Paresh Rawal, Soha Ali Khan, Sonu Sood, Asrani, Johnny Lever",Comedy,,2009,,MAR,6.0
Karma Aur Holi,Manish Gupta,"Sushmita Sen, Randeep Hooda, Naomi Campbell, Suresh Oberoi, Suchitra Krishnamoorthi",Drama,,2009,,MAR,6.0
Jai Veeru,Puneet Sira,"Fardeen Khan, Kunal Khemu, Dia Mirza, Anjana Sukhani",Action Comedy,,2009,,MAR,13.0
Little Zizou,Sooni Taraporevala,"Boman Irani, John Abraham, Kurush Deboo",Comedy,,2009,,MAR,13.0
Gulaal,Anurag Kashyap,"Kay Kay Menon, Deepak Dobriyal, Piyush Mishra, Mahi Gill, Jesse Randhawa, Aditya Shrivastava",Drama,,2009,,MAR,13.0
Aloo Chaat,Robby Grewal,"Aftab Shivdasani, Aamna Sharif, Linda Arsenio, Kulbhushan Kharbanda, Manoj Pahwa, Sanjay Mishra",Romantic comedy,,2009,,MAR,20.0
Barah Aana,Raja Menon,"Naseeruddin Shah, Tannishtha Chatterjee",Drama,,2009,,MAR,20.0
Firaaq,Nandita Das,"Deepti Naval, Naseeruddin Shah, Paresh Rawal, Raghubir Yadav",Political,,2009,,MAR,20.0
Lottery,Hemant Prabhu,"Abhijeet Sawant, Sanjay Narvekar, Mukesh Tiwari, Rucha Gujarati, Manisha Kelkar",Comedy,,2009,,MAR,20.0
Straight,Parvati Balagopalan,"Daman Baggan, Anuj Chaudhary, Ketki Dave, Siddharth Makkar, Gul Panag, Vinay Pathak",Romantic comedy,,2009,,MAR,20.0
Aa Dekhen Zara,Jehangir Surti,"Neil Mukesh, Bipasha Basu, Rahul Dev, Sophie Choudry","Action, Thriller",,2009,,MAR,27.0
Ek: The Power of One,Sangeeth Sivan,"Bobby Deol, Shriya Saran, Nana Patekar, Chunky Pandey, Pradeep, Kulbhushan Kharbanda, Jackie Shroff",Action Thriller,,2009,,MAR,27.0
,,,,,2009,,MAR,
,,,,,2009,,MAR,
8 x 10 Tasveer,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Sharmila Tagore, Javed Jaffrey",Thriller,,2009,,APR,3.0
Ek Se Bure Do,Tarique,"Arshad Warsi, Anita Hassanandani, Rajpal Yadav, Govind Namdeo, Yashpal Sharma, Virendra Saxena, Vijay Raaz, Razzak Khan",Comedy,,2009,,APR,10.0
Pal Pal Dil Ke Saath,V Krishna Kumar,"Ajay Jadeja, Mahie Gill, Satish Shah, Sushma Seth, Vinod Kambli, Sylvie",Drama,,2009,,APR,10.0
Coffee House,Gurbir Grewal,"Ashutosh Rana, Sakshi Tanwar, Harsh Chhaya",Drama,,2009,,APR,10.0
School Days,Dilip Sood,"Pankaj Sharma, Rajiv Sethi, Virender Sharma, Shailly Sehgal",,,2009,,APR,10.0
Royal Utsav,Ravi K. Patwa,"Vikram Kumar, Monalisa, Sudesh Berry, Master Abhishek Sharma, Tripta Chopra, Antra Vishwas, Charu Arora",Historical Drama,,2009,,APR,10.0
Chowrasta Crossroads of Love,Anjan Dutt,"Victor Banerjee, Atul Kulkarni, Roopa Ganguly, Naved Aslam, Aparajita",Drama,,2009,,APR,17.0
Meri Padosan,Prakash Saini,"Sarvar Ahuja, Saadhika Randhawa, Hina Tasleem, Sneha Dhabi, Sanjay Mishra, Ashok Bagla, Khayali",Comedy,,2009,,APR,17.0
Sikandar,Piyush Jha,"Parzan Dastur, Ayesha Kapur, R. Madhavan, Sanjay Suri",Social,,2009,,APR,22.0
99,Raj and D.K.,"Kunal Khemu, Boman Irani, Soha Ali Khan, Cyrus Broacha, Mahesh Manjrekar, Vinod Khanna",Crime comedy,,2009,,MAY,15.0
